"행정구역","2019년05월_총인구수","2019년05월_세대수","2019년05월_세대당 인구","2019년05월_남자 인구수","2019년05월_여자 인구수","2019년05월_남여 비율"
"부산광역시  (2600000000)","3,429,595","1,489,073","      2.30","1,684,792","1,744,803","      0.97"
"부산광역시 중구 (2611000000)","42,404","23,037","      1.84","20,842","21,562","      0.97"
"부산광역시 서구 (2614000000)","109,820","53,055","      2.07","53,469","56,351","      0.95"
"부산광역시 동구 (2617000000)","86,347","43,356","      1.99","42,557","43,790","      0.97"
"부산광역시 영도구 (2620000000)","118,790","55,197","      2.15","58,680","60,110","      0.98"
"부산광역시 부산진구 (2623000000)","358,815","165,287","      2.17","174,251","184,564","      0.94"
"부산광역시 동래구 (2626000000)","267,572","109,791","      2.44","130,703","136,869","      0.95"
"부산광역시 남구 (2629000000)","278,632","118,283","      2.36","136,689","141,943","      0.96"
"부산광역시 북구 (2632000000)","293,362","119,648","      2.45","145,440","147,922","      0.98"
"부산광역시 해운대구 (2635000000)","408,026","167,782","      2.43","196,965","211,061","      0.93"
"부산광역시 사하구 (2638000000)","324,661","138,744","      2.34","162,086","162,575","      1.00"
"부산광역시 금정구 (2641000000)","241,793","106,994","      2.26","118,487","123,306","      0.96"
"부산광역시 강서구 (2644000000)","126,727","52,192","      2.43","65,446","61,281","      1.07"
"부산광역시 연제구 (2647000000)","210,226","89,722","      2.34","101,756","108,470","      0.94"
"부산광역시 수영구 (2650000000)","175,532","80,273","      2.19","83,422","92,110","      0.91"
"부산광역시 사상구 (2653000000)","221,872","97,143","      2.28","112,303","109,569","      1.02"
"부산광역시 기장군 (2671000000)","165,016","68,569","      2.41","81,696","83,320","      0.98"
